anchor_category,count,min,p10,median,mean,p90,max
towel,1,0.7020898461341858,0.7020898461341858,0.7020898461341858,0.7020898461341858,0.7020898461341858,0.7020898461341858
air mattress,1,0.772901713848114,0.772901713848114,0.772901713848114,0.772901713848114,0.772901713848114,0.772901713848114
play carpet,2,0.781139612197876,0.781139612197876,0.781139612197876,0.781139612197876,0.781139612197876,0.781139612197876
floor mat,1,0.795688271522522,0.795688271522522,0.795688271522522,0.795688271522522,0.795688271522522,0.795688271522522
price tag,1,0.8035947680473328,0.8035947680473328,0.8035947680473328,0.8035947680473328,0.8035947680473328,0.8035947680473328
shredder,1,0.8200555443763733,0.8200555443763733,0.8200555443763733,0.8200555443763733,0.8200555443763733,0.8200555443763733
plastic containers,1,0.8329773545265198,0.8329773545265198,0.8329773545265198,0.8329773545265198,0.8329773545265198,0.8329773545265198
white elongated thing,1,0.8353698253631592,0.8353698253631592,0.8353698253631592,0.8353698253631592,0.8353698253631592,0.8353698253631592
shutters,1,0.844734787940979,0.844734787940979,0.844734787940979,0.844734787940979,0.844734787940979,0.844734787940979
ipad,1,0.8479756712913513,0.8479756712913513,0.8479756712913513,0.8479756712913513,0.8479756712913513,0.8479756712913513
shower,1,0.849880039691925,0.849880039691925,0.849880039691925,0.849880039691925,0.849880039691925,0.849880039691925
piles of papers,1,0.8509510159492493,0.8509510159492493,0.8509510159492493,0.8509510159492493,0.8509510159492493,0.8509510159492493
stall,1,0.8596438765525818,0.8596438765525818,0.8596438765525818,0.8596438765525818,0.8596438765525818,0.8596438765525818
metal holding bar,1,0.8601958155632019,0.8601958155632019,0.8601958155632019,0.8601958155632019,0.8601958155632019,0.8601958155632019
metal thing,1,0.860852837562561,0.860852837562561,0.860852837562561,0.860852837562561,0.860852837562561,0.860852837562561
washing machine,1,0.8633374571800232,0.8633374571800232,0.8633374571800232,0.8633374571800232,0.8633374571800232,0.8633374571800232
floor,2,0.8685060739517212,0.8685060739517212,0.8685060739517212,0.8685060739517212,0.8685060739517212,0.8685060739517212
note,1,0.8689786791801453,0.8689786791801453,0.8689786791801453,0.8689786791801453,0.8689786791801453,0.8689786791801453
washer,1,0.8725718259811401,0.8725718259811401,0.8725718259811401,0.8725718259811401,0.8725718259811401,0.8725718259811401
blackboard,1,0.8737491369247437,0.8737491369247437,0.8737491369247437,0.8737491369247437,0.8737491369247437,0.8737491369247437
folder,1,0.8853374123573303,0.8853374123573303,0.8853374123573303,0.8853374123573303,0.8853374123573303,0.8853374123573303
wall,9,0.8642863035202026,0.8734951257705689,0.8794835805892944,0.8854621847470602,0.8976563215255737,0.8976563215255737
painting,2,0.8531740307807922,0.8606293559074402,0.890450656414032,0.890450656414032,0.9202719569206238,0.9277272820472717
window blinds,1,0.8942248821258545,0.8942248821258545,0.8942248821258545,0.8942248821258545,0.8942248821258545,0.8942248821258545
room,4,0.8849356174468994,0.8878672182559967,0.8947076201438904,0.897296741604805,0.908797562122345,0.9148361086845398
kitchen table,1,0.8992080688476562,0.8992080688476562,0.8992080688476562,0.8992080688476562,0.8992080688476562,0.8992080688476562
wardrobe cabinet,1,0.9006796479225159,0.9006796479225159,0.9006796479225159,0.9006796479225159,0.9006796479225159,0.9006796479225159
toilet paper holder,1,0.9050271511077881,0.9050271511077881,0.9050271511077881,0.9050271511077881,0.9050271511077881,0.9050271511077881
bunk,1,0.9100288152694702,0.9100288152694702,0.9100288152694702,0.9100288152694702,0.9100288152694702,0.9100288152694702
corner,5,0.8892841339111328,0.8901577472686768,0.9167729020118713,0.9102120757102966,0.9267675876617432,0.9267675876617432
stand,1,0.9107376933097839,0.9107376933097839,0.9107376933097839,0.9107376933097839,0.9107376933097839,0.9107376933097839
computer,2,0.9121630191802979,0.9121630191802979,0.9121630191802979,0.9121630191802979,0.9121630191802979,0.9121630191802979
shelves,3,0.8176560401916504,0.8466829538345337,0.9627906084060669,0.9144124190012614,0.9627906084060669,0.9627906084060669
oven,2,0.9183359146118164,0.9183359146118164,0.9183359146118164,0.9183359146118164,0.9183359146118164,0.9183359146118164
fan,3,0.861427903175354,0.868099308013916,0.8947849273681641,0.9187262455622355,0.9789297103881835,0.9999659061431885
object,3,0.8686299324035645,0.8756661772727966,0.9038111567497253,0.9241886337598165,0.9808620810508728,1.0001248121261597
end table,1,0.9242182970046997,0.9242182970046997,0.9242182970046997,0.9242182970046997,0.9242182970046997,0.9242182970046997
shelf unit,1,0.924536406993866,0.924536406993866,0.924536406993866,0.924536406993866,0.924536406993866,0.924536406993866
bag,1,0.9259992837905884,0.9259992837905884,0.9259992837905884,0.9259992837905884,0.9259992837905884,0.9259992837905884
recycling bin,1,0.934809684753418,0.934809684753418,0.934809684753418,0.934809684753418,0.934809684753418,0.934809684753418
paper towels,1,0.9361606240272522,0.9361606240272522,0.9361606240272522,0.9361606240272522,0.9361606240272522,0.9361606240272522
